query,misspelled_query
تفرجگاه سد ارس,تفرجگاه سد فرس
فست فود اپتیموس ساری,ف ست سود اپتیموس ساری
دکتر پیله ور شهر قدس,دکنرپیلع ور شهر قدس
داروخانه دکتر امینی,داروخ انه دکتر تامینی
دبیرستان پسرانه دانشگاه بندرعباس,دبیرستان پسرانه داتشگاه بندعباس
نقشه نواحی آموزش و پرورش شیراز,نفشه نواحی اموزش و پرورش شیراز
پارک کاج باغ فیض,پارک جکاج باغ فیض
آبگوشت محمدی تبریز,آبگوشت محمدی تبریزک
دانشگاه اندیشه سازان نکا,ددنشگاه اندیشه سازان نما
استخر پامچال کرج,استخر پامچالیکرکج
تالار ستاره شب نیشابور,تالاژ ستاره شب نیش ابور
فاطمیه مشهد کجاست,فاطمیه مش هد کجاست
تیپاکس تهرانپارس غربی,تیپاکس تهرانپارس طربی
پیتزا پاد لنگرود,پزیتزا پاد لنگرود
خیابان الله اکبر,خیابان الله آکبر
ساختمان ابن سینا ارومیه,ساختمان ابر سینا ارومیه
مرکز موبایل غرب تهران چیتگر,مرکز موباثل غربطهران چیتگر
آشپزخانه مولا دزفول,آشپزخانه مرلا دزفول
شهرک گلها کرج,شهرک گله کژج
میدان شهدا شهرکرد,میدان  شهدا شهرکرد
دکتر سیدی دندانپزشک کاشمر,بکتر سیدب دندانپزشک کشمر
لوازم خانگی عباس زاده اسلامشهر,لوازم خانگی عبا زاده اسلامشهر
شهرک فناوری صنایع غذایی مشهد,شهر فناپری صنایع غذاسی مشهد
کیف و چمدان پاشاپور,کیف و چمذان پ اشاپور
خیابان نادری تهران,کیابان نادری تهران
سازمان جهاد کشاورزی جنوب کرمان,سازمانی جهار کشاورزی جنوب کرمان
ترمینال تاکسی بین شهری شیراز,ترمیمنال‌تاکسی‌بسین‌شکری‌بیراز
دکتر زنگی ابادی میدان ونک,دکتر زنگی ابادی میدان پونک
مدرسه جابر بن حیان مسعودیه,مدرس۸ جابر بن تیان مسعودیه
زبان گستر آمل,ژبان گستر آمل
قبرستان آشوریان اسلامشهر,قبرستان آشورسان اسلامشعهر
فست فود پاروت,فست غود پاروت
کلینیک بهارستان مشهد,کلنیک بهارستان مشهد
کلانتری قدمگاه شیراز,کرانتری قدمگاهشیراز
شماره تلفن مخابرات رودبار,شماری تلفنمخابرات رودباری
داروخانه شبانه روزی سلسبیل,داروخانه شبانه روزی سلسبیلی
میدان بهشت بروجرد,میان‌بهشت‌بروجرد
زمین چمن اتکا,زمینچمن اتکا
رستوران شاطر تقی رودهن,رستوران‌شاطر‌تقی‌رودهن
خیابان حداد عادل کرمانشاه,خیابان حداد عادله کرمانشاه
شماره ماکسیم مهاباد,مشاره ماکسیم مهاباد
بانک سامان گلشهر کرج,ژانک یامان گلچهر کرج
مشاوره و ترک اعتیاد پیروزان,مشاوره و ترک اعتیاآد پ یروزان
دفتر خدمات قضایی گنبد کاووس,دفتر خدمعت قنایی گنبد کاوس
لوازم تحریر ایده شیراز,بوازم تحریر ایمه شیراز
بستنی سهیلی کرمانشاه,بستنی‌سهیلی‌کرمانشاه
بانک دی شعبه اقدسیه,بآنک دی شعبه اقدسیه
بانک ملت یوسف آباد,باوک ملت ی وسف آبادر
پارک کوهسار ملایر,تارک کوهشار ملایر
آژانس توحید صومعه سرا,آژ انس توحید صومعه زرا
رستوران کارما تبریز,رستنران کارما آبریز
آموزشگاه زبان امام حسین مشهد,آحوزشگاه زباناکام سینمشهذ
رستوران نیکویی تفت,رستوران نیکوییتفت
خیابان کاشانی یزد,خیابان کابانی یژد
داروخانه دکتر میردامادی اصفهان,داروخانه دکار میردامادی اصفعان
پاساژ الماس قائمشهر,پتساژ الیاس قائمشهر
تاکسی تلفنی رضا دزفول,تاحسی تلفنی رضآ دزفو ل
موبایل رحیمی اندیشه,موبایل رحثمی اندیشه
باشگاه یوتاب قزوین,باضشگاه یوتاب قزوین
عمارت ایرانمنش زرند,عمار ایرامنش زرند
بنگاه ماشین شهرکرد,بنگاه‌ماشین‌شهرکرد
مرکز بهداشت موسی آباد اسلامشهر,مرز بهداظت موسی آباد اسلانمشهر
ملامین رویال یزد,ملآمین رویا  یزد
خیابان معلم شاهرود,خیعبان مغلم شاهرود
شهربازی هپی لند,شهرباطی هپی لنپ
دکتر رجبی دندانپزشک ایلام,دحتر رجبی دندانپزشک اعلام
فرودگاه قشم روی نقشه,فرودگاه‌قشه‌روی‌ن۴شه
قالیشویی ملت کرمانشاه,قالیشوئی مله کرمانشاه
رستوران سی تو تجریش,رس توران سی تو تجریش
مرکز بهداشت امام محمد تقی اصفهان,مرکز به داشت امام احمد تنی اصفهان
موبایل علیپور مهاباد,موبایل عفیپور مهاباد
خیابان سجادیه کرمان,خیبابان سجا دیه کرماخ
ارایشگاه مخابرات شاهین شهر,ارایشگاه مخابرات شاهین شهره
خیرود کنار رودخانه,خیرود کنار روادخانه
کرایه رشت به کوچصفهان,کرایه ر شت به کوچصفهان
خیابان دهم فروردین,خیاان د هم فذوردین
کافه نون و ریحون نور,کتفه نون و جیحون نوژ
دکتر عیوض نیا نسیم شهر,دکتر عیوض نید بسیم لشهر
استریو ملت اردبیل,استرثو‌ملت‌اردبیل
نمایندگی کویر موتور دزفول,نماییندگی کویر موتور دزفول
فروشگاه صفا نجف آباد,فروسگاه صفای نجف آباد
بنیاد شهید شاهین شهر,بنیاد هید شهین شجر
نقشه پارک فدک شهرک غرب,منقشه پسرک ۵دک شهرک غرب
آموزشگاه رانندگی قائم چالوس,آموزشگاهرانندگی قائم چالوس
کتابخانه ولیعصر هشتگرد,کتابخانه ولیعصر هشتگ رد
نمایندگی چینی زرین در مشهد,نمایندگی چینو زرینه در مشهد
لباس کار ایران کار,بباس کار ایران کار
دکتر کالری اصفهان مشتاق,دک ترکالای اصفهان مشتاق
مدرسه خزائلی رشت,مدرس خزائلی رشت
دبیرستان مکتبی اصفهان,دبیرستان مکتبی اضفهان
داروخانه شبانه روزی ساری,داروخانه شبانه رومی ساری
بیمه معلم اصفهان آپادانا,بیمه معلم اصفهعن آپادانا
پیتزا لاوین ماهشهر,پیتزا لاتین ماهشهر
پارک بهجت آباد,پترک بهجت آباد
فرداد کیان فرتاک,فر داد ک یان فرتاک
کافه های شام اسبی اردبیل,کافه هاب شام اسبی اردبیبل
محبت بار تبریز,مخبت بار تبریز
سالن وحدت گرگان,سالن وحدت گردان
آب منطقه ای استان مرکزی,آب منطق۸ ای است ان مرکزی
کاریابی ایران قم,کاریعبی ایران قم
شماره تلفن پلیس راه کرمانشاه اسلام اباد,شمعاره تلفن پلیس راب کرمانشاه اسلام اژاد
تهیه غذا جلفا,تهیه غذا جرفا
خیابان نظام پزشکی تبریز,۹یابان نظام پزشکی تب ریز
پاساژ قدس مشهد,ماساژ  قدسمشهد
نان سحر بلوار دریا,نان س حر بلوار درسا
نی نی گل اصفهان,نی نزی گل اصفهان
مسیر اتوبوس های شهرک قدس قم,مستر اتوبوس رای شهرک قدس قم
بلوار شیخ مفید سیرجان,شلوار شیخ مفید سیرجان
امور مشترکین همراه اول اراک,امور‌مشترکین‌همراه‌اول‌اراک
داروخانه سجاد مشهد,داروخانه سجاد شهد
پارک خلدبرین شیراز,پاکر خلدبرین شیرازی
مجتمع نیلوفر سیزده آبان, مجتمع نیلوفر سیزدهم آفان
باشگاه تیراندازی رشت,باشگاه تیراندازی ذشت
پیتزا متری شیراز,پینزا کتری شثراز
بیرون بر ساحلی شیراز,بیرون بر ساحلی شیرز
مزرعه خسروی قزوین,مزلعه خسروی قزوینه
کرایه چی مشهد کوهسنگی,کرایه چی مشخد کوهسنگی
طب کار رایان سلامت,طی کار رایان سلامت
دامون نت لاهیجان,دامون‌منت‌لاهیجان
درمانگاه آموزش و پرورش منطقه 8 تهران,درمانگاه آموزی وپرورش منطقه 8 تهران
جهاد دانشگاهی قزوین ولیعصر,جهادی دانشگاهی قزوینی ولیعصر
دبیرستان دخترانه امام حسین مشهد برونسی,دییرستان دخترانه امام حسین مشهد برونی
آموزشگاه رانندگی سجاد شهرکرد,آموزسگاه رانندگی سجاد شهرکرد
خیابان تمدن خرم آباد,خیادان تمدنی خرم آقباد
پیتزا دوقلو قزوین,پیتزا دوقلت قزوین
پارک بانوان پرند,خارکبانیان پرند
داروخانه هلیا احمدی مقدم,داروخانه هلما احمدی مقدح
